number,learning_rate,batch_size,weight_decay,precision,recall,mAP50,mAP50_95
0,0.050478870066046844,16,6.734697681730525e-06,0.28666,0.1958,0.15304,0.0611
1,4.237992707977039e-05,16,0.0008921844937889231,0.28666,0.1958,0.15304,0.0611
2,0.0004956735133416733,16,0.000558392864657577,0.28666,0.1958,0.15304,0.0611
3,0.005368616767529682,4,3.838708454082517e-05,0.28666,0.1958,0.15304,0.0611
4,3.159248336562136e-05,32,0.000638706176625203,0.28666,0.1958,0.15304,0.0611
5,3.053203970824968e-05,16,3.804118756479587e-06,0.28666,0.1958,0.15304,0.0611
6,3.4542805790156803e-05,16,2.1785486370122474e-06,0.28666,0.1958,0.15304,0.0611
7,0.008572099173302051,16,2.7141531705983045e-05,0.28666,0.1958,0.15304,0.0611
8,0.0028971259558726293,32,4.629763107341127e-05,0.28666,0.1958,0.15304,0.0611
9,0.017307055723438918,16,3.191984330313405e-06,0.28666,0.1958,0.15304,0.0611
10,0.030586121255653253,32,3.742003686262754e-06,0.28666,0.1958,0.15304,0.0611
11,0.00013380849416809752,32,0.0007825620551646853,0.28666,0.1958,0.15304,0.0611
12,0.007832824544102808,4,4.62126280685718e-06,0.28666,0.1958,0.15304,0.0611
13,0.00035071535689472306,32,3.6387668529940214e-06,0.28666,0.1958,0.15304,0.0611
14,0.0003460121419404506,32,0.0004939437789856435,0.28666,0.1958,0.15304,0.0611
15,0.00407270423612014,8,0.00013256487055763097,0.28666,0.1958,0.15304,0.0611
16,9.873920910445462e-05,8,1.0071307015366129e-06,0.28666,0.1958,0.15304,0.0611
17,3.382029365844955e-05,32,2.8850056935626583e-06,0.28666,0.1958,0.15304,0.0611
18,0.09885349158457139,16,2.255824535388981e-06,0.28666,0.1958,0.15304,0.0611
19,0.0003998442987267876,4,8.160738852796182e-05,0.28666,0.1958,0.15304,0.0611
20,0.00537719931086358,8,0.0006721134763952726,0.28666,0.1958,0.15304,0.0611
21,0.00010450676461425172,8,2.0066874260971154e-06,0.28666,0.1958,0.15304,0.0611
22,8.759870785561032e-05,8,0.0005190740503466087,0.28666,0.1958,0.15304,0.0611
23,0.003596936422174322,4,2.303704124076525e-06,0.28666,0.1958,0.15304,0.0611
24,0.0033419496031844185,16,9.070744807294258e-05,0.28666,0.1958,0.15304,0.0611
25,0.003900360936548744,8,0.0004900986709056416,0.28666,0.1958,0.15304,0.0611
26,0.030727767608035007,4,0.00030944662769698397,0.28666,0.1958,0.15304,0.0611
27,0.06252756842301538,8,2.3347065154387194e-05,0.28666,0.1958,0.15304,0.0611
28,0.017920192686203488,4,3.813254208141089e-05,0.28666,0.1958,0.15304,0.0611
29,0.00012954431334387612,4,5.6802619249256656e-06,0.28666,0.1958,0.15304,0.0611
30,2.800414565003075e-05,16,1.197923065473711e-05,0.28666,0.1958,0.15304,0.0611
31,0.0003435413936310402,8,6.08880773715266e-05,0.28666,0.1958,0.15304,0.0611
32,0.023538394485433028,8,9.501555244027003e-05,0.28666,0.1958,0.15304,0.0611
33,0.0003598487964536012,32,2.10190211115235e-05,0.28666,0.1958,0.15304,0.0611
34,0.0014909102983142967,4,4.091044674939272e-06,0.28666,0.1958,0.15304,0.0611
35,0.005770746886482867,8,1.449155000743856e-06,0.28666,0.1958,0.15304,0.0611
36,0.010249863241555137,32,2.8595369473739472e-05,0.28666,0.1958,0.15304,0.0611
37,0.00011023404831719136,8,4.1476356336033435e-05,0.28666,0.1958,0.15304,0.0611
38,0.005658414252473934,4,4.5890372629811965e-05,0.28666,0.1958,0.15304,0.0611
39,0.005302202948811238,4,8.234466303123297e-05,0.28666,0.1958,0.15304,0.0611
40,0.0011129919416823263,32,6.590828319106553e-06,0.28666,0.1958,0.15304,0.0611
41,0.00016916355079844383,32,0.00010998487413684198,0.28666,0.1958,0.15304,0.0611
42,1.388490292757094e-05,8,7.215003430748642e-05,0.28666,0.1958,0.15304,0.0611
43,0.0017034837621270108,32,2.21612516142581e-06,0.28666,0.1958,0.15304,0.0611
44,0.004681223773712025,16,8.234271280694117e-06,0.28666,0.1958,0.15304,0.0611
45,0.002957902044174868,8,1.2728562139665321e-05,0.28666,0.1958,0.15304,0.0611
46,0.001228897006812102,16,0.00016105108142534905,0.28666,0.1958,0.15304,0.0611
47,0.00020686342989852235,4,1.2705371833120468e-06,0.28666,0.1958,0.15304,0.0611
48,2.0534340357036666e-05,8,5.4417119328372315e-06,0.28666,0.1958,0.15304,0.0611
49,0.006177905489035199,32,2.283384895604001e-06,0.28666,0.1958,0.15304,0.0611
